FECHAELAB,CVE_DOC,CVE_CLPV,STATUS,CVE_VEND,FECHA_DOC,FECHA_ENT,FECHA_VEN,FECHA_CANCELA,CAN_TOT,DES_TOT,DES_FIN
2022-04-12 10:36:19.707,F37888,6568.0,E,2.0,2022-04-12,2022-04-13 00:00:00,2022-04-12,,3015.0000000000005,0.0,0.0
2022-04-13 09:46:22.043,F37898,6979.0,E,2.0,2022-04-13,2022-04-13 00:00:00,2022-04-13,,1265.09,0.0,0.0
2022-04-13 11:48:20.543,F37901,8132.0,E,2.0,2022-04-13,2022-04-13 00:00:00,2022-04-13,,1188.7491,0.0,0.0
2022-04-13 13:00:25.943,F37902,7098.0,E,2.0,2022-04-13,2022-04-13 00:00:00,2022-04-13,,378.00000000000006,0.0,0.0
2022-04-13 13:59:18.497,F37904,6573.0,E,2.0,2022-04-13,2022-04-13 00:00:00,2022-04-13,,200.00000000000003,0.0,0.0
2022-04-13 14:03:21.653,F37905,6573.0,E,2.0,2022-04-13,2022-04-13 00:00:00,2022-04-13,,2495.6896,0.0,0.0
2022-04-13 15:38:42.743,F37907,2370.0,E,6.0,2022-04-13,2022-04-13 00:00:00,2022-04-13,,3701.36,0.0,0.0
2022-04-13 17:20:20.033,F37911,4503.0,E,2.0,2022-04-13,2022-04-13 00:00:00,2022-04-13,,240.00000000000003,0.0,0.0
2022-04-13 17:32:46.633,F37913,5926.0,E,2.0,2022-04-13,2022-04-13 00:00:00,2022-04-13,,206.10000000000002,0.0,0.0
2022-04-19 11:16:51.107,F37922,4889.0,E,6.0,2022-04-19,2022-04-13 00:00:00,2022-04-19,,4717.35,0.0,0.0
2022-04-19 14:03:18.947,F37926,4649.0,E,2.0,2022-04-19,2022-04-13 00:00:00,2022-04-19,,2077.5,0.0,0.0
2022-04-21 10:26:18.843,F37939,2730.0,E,2.0,2022-04-21,2022-04-13 00:00:00,2022-04-21,,1035.0,0.0,0.0
2022-04-21 12:49:43.633,F37943,6119.0,E,2.0,2022-04-21,2022-04-13 00:00:00,2022-04-21,,3318.0006000000003,0.0,0.0
2022-04-22 11:11:49.590,F37953,8440.0,E,2.0,2022-04-22,2022-04-13 00:00:00,2022-04-22,,2289.9700000000003,0.0,0.0
2022-04-22 15:10:48.470,F37956,6152.0,E,3.0,2022-04-22,2022-04-13 00:00:00,2022-04-30,,4155.0,0.0,0.0
2022-04-25 14:40:45.877,F37971,5068.0,E,2.0,2022-04-25,2022-04-13 00:00:00,2022-06-09,,2790.7,0.0,0.0
2022-06-02 11:07:38.387,F38295,5926.0,E,2.0,2022-06-02,2022-04-13 00:00:00,2022-06-02,,1140.8600000000001,0.0,0.0
