,DESCR,PRECIO_UNITARIO,COSTO_UNITARIO
0,"TUB COBRE 5/16""ØX165MM CIRCULA1.5KW127V",434.48,52.8
1,"TUA U"" 5/16 ØX250MM 1200W 120V TAP1""NPT",1264.05,327.18
2,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 7 MT,551.61,177.68
3,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT,140.0,38.96
4,BAN P INOX 115MMX235MM 1000W 127V T/TOR,172.41,101.71
5,BAN P INOX 55MMX235MM 450W 127V T/TOR,237.07,49.41
6,REPARACION DE BATIDOR 16.6KW 440V,14000.0,5323.76
7,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT,94.5,38.96
8,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA",1615.0,517.89
9,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA",1615.0,517.89
10,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA",1615.0,517.89
11,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA",1615.0,0.0
12,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA",1615.0,0.0
13,BOB 8020 CAL.26 127V BAS28.5CMX27CM MICA,1485.25,0.0
14,BC INOX 114MMØX165MM 1500W 230V C/ALLEN,2095.25,0.0
15,"PT-100 1/8""ØX30MM EXT 1.5MT 3HILOS Z/ESP",192.5,51.73
16,"TERMOPAR CERAMICO T/K"" LONG 12"" CAL 8""",771.28,124.0
17,"TER J 3/16""ØX2"" EXT.2MT CON-1/2"" NPT",125.0,0.0
18,BAN MICA 120mmØx50mm 850W 440V TTORNILLO,821.3,0.0
19,BAN MICA Ø120MM X 50 MM 700W 440V T TOR,821.3,0.0
20,BAN INOX 36MMØX25MM 150W 240V EXT30CM,496.35,27.43
21,"PT-100 3/16""ØX11/2"" EXT3MTS TEFLON Z-PIN",938.53,147.76
22,PT-100 4MMØX10CM EXT 5MT TEFLON 2HILOS,718.52,259.35
23,"PT-100 DE 1/4""ØX14.5CM EXT 5MT CONECTOR",898.25,332.65
24,REPARACION DE TERMOPAR,1500.0,0.36
25,"TUB INOX 7/16""ØX510MM ""U""8000W 440V TAP",1848.0,1081.89
26,"TERMOPAR CERAMICO T/K"" LONG 12"" CAL 8""",485.0,124.0
27,"TERMOPAR CERAMICO T/ K"" LONG 12"" CAL.14""",375.0,44.14
28,"PT-100 1/4""Øx60CMS CABEZA Y BLOCK 1/2""X",2005.46,489.39
29,BOBINA CAL.8 DSD C/TERMINALES EN INOX,1299.32,305.44
30,"TUB INOX 7/16""ØX490MM U ESP 3200W 220V",856.04,295.24
31,BOBINA CAL.8 DSD C/TERMINALES EN INOX,1299.32,305.44
32,"TUB INOX 1/4""ØX6"" 1675W 120V PARRILLA",601.23,178.6
33,"TER J 3/16""ØX1"" EXT.2MTS MALLA Z/ESPADA",150.5,68.95
34,"TER K 3/16""ØX1"" EXT.2MT RES/MALLA INOX",215.96,78.32
35,REPARACION DE SELLADORA PCS-300,382.1,5.76
36,REPARACION DE SELLADORA PCS-200,485.23,45.01
37,BAN INOX 197MMØX152MM 3500W 440V T/TORNI,945.0,289.05
38,"CART INOX 3/8""Øx8"" 340W, 220V CABLE 35CM",259.6,64.85
39,"PT-100 3/16""ØX11/2"" EXT3MTS TEFLON Z-PIN",938.53,0.0
40,"TUB INOX 1/2""ØX1030MMX980MM 3KW480V ""L""",12720.0,0.0
41,"TUB INOX 7/16""ØX80CM 1200W 127V T/TOR",619.21,101.71
42,BOB 8020  CAL.19 79MMØX750MM GAZA 40CM,505.08,0.0
43,"TUB INOX 5/16""ØX50CM 4000W240V ""J"" 1""NPT",1328.0,0.0
44,"TER J 3/16""ØX50MM TRANS 1/4""ØX4MM EXT3MT",599.05,0.0
45,"TUB INOX. 5/16""Øx1 MTS 900W, 127V. U TOR",803.0,140.29
46,"TUB INOX 7/16""ØX410MM 2500W220V CIRCULAR",785.25,181.88
47,"TUB INOX 7/16""ØX36.4CM 2500W220V ""M ESP""",615.85,249.89
48,"TUB INOX 5/16""Øx64CMS 700W220V.",385.2,48.56
49,"TUB INOX 5/16""ØX111MM 2500W220V ESPIRAL",2150.0,0.0
50,"TUB. INOX. 5/16 Øx615mm. 2000W 440V ""U""""",531.0,85.29
51,"BOQUILLA 11/2X1""1/2"" 300W 240V""",385.0,220.0
52,TERMOPAR J 3/16 Ø X1'  1/2 EXT.  8 MT,500.0,211.36
53,"TUB INOX 5/16""ØX110MM 1500W 127V ESPIRAL",835.5,242.48
54,"TUB INOX 5/16""ØX110MM 1500W 240V ESPIRAL",895.5,235.56
55,"TUB INOX 5/16""ØX383MMØX354MM 2KW240V CHI",1264.25,0.0
56,"TUB INOX 5/16""ØX383MMØX354MM 2KW240V GDE",1264.25,0.0
57,BOB 8020 CAL.19 1612W 127V CER-8CANALES,605.0,44.7
