,Fecha_Alta,Tipo,Operación,Provincia,Superficie,Precio Venta,Fecha Venta,Vendedor
1,2004-01-01,Local,Venta,Girona,185.0,1945424.0,2004-04-19,Pedro
3,2004-01-02,Parking,Alquiler,Girona,285.0,,2004-04-27,Jesús
5,2004-01-03,Industrial,Alquiler,Girona,131.0,953156.0,2004-09-05,Pedro
7,2004-01-03,Oficina,Venta,Girona,235.0,2158475.0,2004-10-31,Jesús
10,2004-01-04,Oficina,Alquiler,Girona,124.0,627068.0,2004-10-28,Pedro
11,2004-01-04,Industrial,Venta,Girona,187.0,999328.0,2004-04-05,Carmen
14,2004-01-04,Industrial,Alquiler,Girona,176.0,820336.0,2004-11-29,Pedro
15,2004-01-05,Casa,Alquiler,Girona,179.0,937960.0,2004-11-21,Carmen
22,2004-01-10,Casa,Alquiler,Girona,183.0,1438929.0,2004-04-21,Luisa
36,2004-01-16,Local,Venta,Girona,229.0,1160572.0,2004-07-09,Pedro
39,2004-01-18,Oficina,Venta,Girona,182.0,1057784.0,2004-07-22,Jesús
43,2004-01-19,Casa,Venta,Girona,278.0,1537062.0,2004-12-16,María
54,2004-01-22,Local,Venta,Girona,127.0,983234.0,2004-07-09,Carmen
57,2004-01-24,Local,Alquiler,Girona,274.0,2287626.0,2004-12-21,María
68,2004-01-27,Local,Venta,Girona,248.0,2212408.0,2004-10-09,María
70,2004-01-28,Casa,Venta,Girona,235.0,1939925.0,2004-11-01,Carmen
73,2004-01-29,Industrial,Venta,Girona,229.0,1098055.0,2004-10-22,Joaquín
81,2004-02-02,Parking,Venta,Girona,117.0,1069731.0,2004-09-14,Pedro
85,2004-02-03,Piso,Venta,Girona,275.0,2141700.0,2005-01-08,Jesús
89,2004-02-04,Suelo,Venta,Girona,292.0,2685816.0,2004-07-24,Pedro
98,2004-02-07,Industrial,Alquiler,Girona,251.0,2067236.0,2004-12-22,María
100,2004-02-08,Suelo,Alquiler,Girona,162.0,710694.0,2004-09-27,María
102,2004-02-08,Casa,Alquiler,Girona,258.0,1188090.0,2004-07-19,María
104,2004-02-10,Piso,Alquiler,Girona,238.0,1854496.0,2005-02-02,Luisa
106,2004-02-10,Suelo,Alquiler,Girona,222.0,1791318.0,2004-12-13,Jesús
113,2004-02-14,Suelo,Venta,Girona,103.0,806799.0,2005-01-11,Joaquín
115,2004-02-15,Parking,Venta,Girona,103.0,973659.0,2005-01-04,Jesús
116,2004-02-15,Oficina,Venta,Girona,274.0,1724008.0,2004-09-26,Joaquín
117,2004-02-15,Oficina,Venta,Girona,253.0,2047276.0,2004-09-10,Luisa
122,2004-02-17,Local,Alquiler,Girona,179.0,1461356.0,2004-07-30,Pedro
124,2004-02-19,Industrial,Venta,Girona,118.0,1067192.0,2004-08-25,Carmen
145,2004-02-28,Parking,Venta,Girona,274.0,2028970.0,2004-08-20,Luisa
154,2004-03-03,Suelo,Alquiler,Girona,185.0,1403595.0,2004-10-02,Pedro
155,2004-03-03,Casa,Venta,Girona,284.0,1561432.0,2004-07-01,Pedro
163,2004-03-05,Oficina,Alquiler,Girona,287.0,1395681.0,2004-09-13,Carmen
166,2004-03-06,Parking,Venta,Girona,169.0,1370759.0,2005-01-14,Luisa
170,2004-03-08,Suelo,Venta,Girona,144.0,1358640.0,2004-11-13,Joaquín
172,2004-03-09,Oficina,Venta,Girona,268.0,2400476.0,2005-03-08,Joaquín
182,2004-03-14,Local,Alquiler,Girona,231.0,1446522.0,2004-09-02,Carmen
188,2004-03-17,Parking,Venta,Girona,160.0,1261600.0,2004-10-25,Jesús
193,2004-03-19,Local,Alquiler,Girona,117.0,986895.0,2004-09-14,Pedro
197,2004-03-21,Oficina,Alquiler,Girona,174.0,720882.0,2004-08-14,Pedro
200,2004-03-22,Parking,Venta,Girona,247.0,1050985.0,2004-11-09,Pedro
202,2004-03-22,Local,Alquiler,Girona,169.0,902798.0,2004-07-16,Luisa
204,2004-03-23,Local,Venta,Girona,274.0,2002392.0,2004-12-04,Luisa
213,2004-03-26,Industrial,Venta,Girona,163.0,1385011.0,2004-08-26,Carmen
214,2004-03-27,Parking,Alquiler,Girona,214.0,1219158.0,2004-07-13,Pedro
227,2004-04-01,Local,Venta,Girona,211.0,2010619.0,2004-11-12,Jesús
232,2004-04-03,Local,Alquiler,Girona,246.0,1362348.0,2004-10-05,Joaquín
233,2004-04-03,Suelo,Venta,Girona,230.0,1722700.0,2005-03-26,Carmen
235,2004-04-03,Industrial,Venta,Girona,226.0,2104286.0,2004-08-26,Carmen
245,2004-04-09,Local,Venta,Girona,287.0,1936102.0,2005-04-08,Jesús
247,2004-04-09,Suelo,Alquiler,Girona,136.0,873120.0,2004-12-26,Pedro
255,2004-04-10,Industrial,Venta,Girona,238.0,1620304.0,2004-10-05,Carmen
266,2004-04-14,Casa,Venta,Girona,204.0,1291116.0,2004-09-27,Carmen
267,2004-04-15,Industrial,Alquiler,Girona,150.0,968250.0,2005-02-15,María
274,2004-04-16,Local,Alquiler,Girona,193.0,1079449.0,2004-11-20,Pedro
275,2004-04-17,Oficina,Alquiler,Girona,110.0,1039500.0,2004-11-17,Pedro
277,2004-04-17,Suelo,Alquiler,Girona,125.0,853750.0,2004-08-25,Carmen
278,2004-04-18,Suelo,Venta,Girona,244.0,1414956.0,2005-02-26,María
