,Fecha_Alta,Tipo,Operación,Provincia,Superficie,Precio Venta,Fecha Venta,Vendedor
1,2004-01-01,Local,Venta,Girona,185.0,1945424.0,2004-04-19,Pedro
4,2004-01-02,Suelo,Venta,Tarragona,152.0,185000.0,2004-07-10,María
9,2004-01-04,Parking,Venta,Lleida,299.0,2042768.0,2004-10-06,Joaquín
11,2004-01-04,Industrial,Venta,Girona,187.0,999328.0,2004-04-05,Carmen
12,2004-01-04,Parking,Venta,Barcelona,,2937300.0,2004-11-04,Jesús
13,2004-01-04,Local,Venta,Tarragona,68.0,664700.0,2004-10-01,Carmen
17,2004-01-06,Suelo,Venta,Barcelona,283.0,1679605.0,2004-06-06,Carmen
20,2004-01-09,Industrial,Venta,Barcelona,228.0,2020992.0,2004-06-12,Carmen
33,2004-01-15,Casa,Venta,Barcelona,281.0,2483197.0,2004-11-01,María
36,2004-01-16,Local,Venta,Girona,229.0,1160572.0,2004-07-09,Pedro
40,2004-01-18,Piso,Venta,Barcelona,230.0,1421860.0,2004-09-23,Jesús
43,2004-01-19,Casa,Venta,Girona,278.0,1537062.0,2004-12-16,María
47,2004-01-20,Industrial,Venta,Barcelona,284.0,1457488.0,2004-07-06,Jesús
48,2004-01-20,Local,Venta,Girona,40.0,321680.0,2005-01-11,Jesús
50,2004-01-20,Industrial,Venta,Lleida,90.0,568620.0,2004-12-14,Joaquín
54,2004-01-22,Local,Venta,Girona,127.0,983234.0,2004-07-09,Carmen
55,2004-01-23,Piso,Venta,Lleida,54.0,239220.0,2004-05-01,María
58,2004-01-24,Industrial,Venta,Tarragona,166.0,1373816.0,2004-11-19,Joaquín
60,2004-01-24,Casa,Venta,Tarragona,120.0,1140840.0,2004-09-12,Carmen
61,2004-01-24,Industrial,Venta,Tarragona,178.0,1142938.0,2005-01-23,Joaquín
62,2004-01-25,Piso,Venta,Barcelona,144.0,738144.0,2004-09-06,Luisa
63,2004-01-26,Industrial,Venta,Lleida,57.0,509010.0,2004-10-13,María
65,2004-01-27,Suelo,Venta,Lleida,272.0,2119424.0,2004-12-24,Pedro
68,2004-01-27,Local,Venta,Girona,248.0,2212408.0,2004-10-09,María
70,2004-01-28,Casa,Venta,Girona,235.0,1939925.0,2004-11-01,Carmen
71,2004-01-28,Suelo,Venta,Tarragona,216.0,1478952.0,2004-10-15,Carmen
73,2004-01-29,Industrial,Venta,Girona,229.0,1098055.0,2004-10-22,Joaquín
74,2004-01-29,Suelo,Venta,Tarragona,41.0,187862.0,2004-08-14,Jesús
77,2004-01-31,Piso,Venta,Lleida,87.0,448485.0,2004-10-04,María
78,2004-01-31,Parking,Venta,Barcelona,298.0,2520484.0,2004-11-27,Carmen
81,2004-02-02,Parking,Venta,Girona,117.0,1069731.0,2004-09-14,Pedro
82,2004-02-02,Suelo,Venta,Lleida,56.0,471072.0,2004-05-29,María
83,2004-02-02,Piso,Venta,Barcelona,94.0,470940.0,2004-07-28,Carmen
85,2004-02-03,Piso,Venta,Girona,275.0,2141700.0,2005-01-08,Jesús
89,2004-02-04,Suelo,Venta,Girona,292.0,2685816.0,2004-07-24,Pedro
94,2004-02-06,Local,Venta,Barcelona,68.0,663816.0,2004-05-23,Joaquín
96,2004-02-07,Suelo,Venta,Tarragona,96.0,625536.0,2004-11-07,Jesús
97,2004-02-07,Casa,Venta,Lleida,227.0,1467782.0,2005-02-01,Carmen
101,2004-02-08,Local,Venta,Barcelona,45.0,438435.0,2004-05-23,Luisa
109,2004-02-12,Parking,Venta,Barcelona,206.0,1587642.0,2004-12-20,Luisa
113,2004-02-14,Suelo,Venta,Girona,103.0,806799.0,2005-01-11,Joaquín
114,2004-02-14,Industrial,Venta,Tarragona,54.0,438750.0,2004-08-15,Carmen
115,2004-02-15,Parking,Venta,Girona,103.0,973659.0,2005-01-04,Jesús
118,2004-02-16,Parking,Venta,Lleida,51.0,307989.0,2004-07-06,Pedro
119,2004-02-16,Piso,Venta,Tarragona,174.0,973878.0,2004-12-13,Jesús
120,2004-02-17,Parking,Venta,Barcelona,152.0,688864.0,2004-12-06,Jesús
124,2004-02-19,Industrial,Venta,Girona,118.0,1067192.0,2004-08-25,Carmen
125,2004-02-19,Industrial,Venta,Tarragona,194.0,1373132.0,2004-08-31,María
126,2004-02-20,Industrial,Venta,Barcelona,139.0,1087119.0,2004-05-29,Jesús
127,2004-02-20,Casa,Venta,Tarragona,130.0,1230190.0,2005-01-04,Luisa
130,2004-02-21,Local,Venta,Lleida,55.0,477345.0,2004-09-04,Carmen
134,2004-02-22,Local,Venta,Lleida,45.0,229455.0,2004-10-05,Jesús
136,2004-02-23,Casa,Venta,Barcelona,119.0,686154.0,2005-01-19,Pedro
137,2004-02-24,Industrial,Venta,Girona,88.0,678480.0,2004-12-28,Luisa
139,2004-02-26,Piso,Venta,Barcelona,222.0,1076034.0,2004-06-02,María
140,2004-02-27,Suelo,Venta,Barcelona,47.0,455477.0,2004-12-31,Joaquín
144,2004-02-28,Piso,Venta,Girona,50.0,315550.0,2004-10-14,Pedro
